Sample Name,Raman peak area of blanks,Total blank1 RU,Total Blank2 RU,Total sample RU after blank subtraction,Position in final database,M:C,BIX,HIX,FI,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,Optical Brighteners,Diesel Band II,Petroleum-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
CPitBottom_A_3_29_1500,36308.2011492045,65.1600017429252,79.466471768066,19.9587630937748,37,0.993110774728928,0.855635977013311,2.43573924819891,1.61477786931036,0.00941800851799972,0.0104066329846336,0.010478823963494,0,0.00651312786001734,0.0177589661117787,0.00505823688702235,0.00894286802946093,0.00309256815475198,0.0105854736208019,0,0.0194612675577489,0,0.006692476670682,0,0.0107596067774576,0.00606539305604542
C10_L_D_3_30_0700,36308.2011492045,65.1600017429252,79.466471768066,71.7142560026627,38,1.20189005231896,0.92387612749689,0.985483046108139,1.65480452926689,0.0342726054020837,0.0417550068506252,0.0347411202630907,0.0716683371623603,0.0963345255969856,0.052091830291283,0.0159005834554315,0.0278132217634809,0.0120259925612901,0.0333144353868562,0.0833326389005921,0.0685303934283316,0.0481791579722947,0.06547079017772,0.0858863370187408,0.0304080443741258,0.0663892676195002
CReefcrest_E_3_30_1300,36308.2011492045,65.1600017429252,79.466471768066,15.5417326758921,39,1.58568740732226,0.769880028602707,0.508583626922777,1.19297147773461,0.00370700760198511,0.005415041711171,0.00341494905374531,0.00601186620243234,0.0131855932348794,0.0017286486926247,0.00189684868744672,0.00238610060350945,0.00145742962592758,0.00439292056463566,0.0163749181065909,0.00826750452559313,0.00486702598104263,0.0118705337506909,0.00313827685030032,0.00303356271777676,0.00863940496949528
Creefcrest_H_3_31_0700,36308.2011492045,65.1600017429252,79.466471768066,18.5213858811923,40,1.67192665271777,0.715240291372573,0.725394549226787,1.61233785275159,0.00607181012081612,0.00801049870382764,0.00479117830366918,0.0079384147336126,0.0134699613588196,0.0191092791999136,0.00275961753992539,0.00385296552785472,0.00194514454825484,0.00610317451439104,0.0215967486463251,0.01285276802015,0.00469438492166263,0.0145291003089378,0.0100587719926519,0.00472231355122301,0.0129649479811567
CPit_J_3_31_0700,36308.2011492045,65.1600017429252,79.466471768066,18.9235811305954,41,1.12524406319787,0.914965060588475,2.73210557439,1.6951688162544,0.00730297948193057,0.00865293498354536,0.00768982949259404,0,0.00742098669796948,0.00509058670136134,0.00395700496215915,0.00646048157813174,0.00245118484812191,0.00749662360206243,0.0210154046430429,0.0171585011870846,0,0.0055670938780282,0.00301963808127641,0.00769566385762056,0.00680177473589759
CSpringRoad_3_30_1600,36308.2011492045,65.1600017429252,79.466471768066,64.8723926509578,42,1.10455662182422,0.583325585604271,2.35920003086229,1.67630511046649,0.0444543638332528,0.0425434525209895,0.0385163165748148,0.0528190372569402,0.0466056713341741,0.0312886477826953,0.0231292191236989,0.0298126116259994,0.0163669105767221,0.0352116476668635,0.056121569852639,0.0675836646431982,0.0401812261763914,0.0402776201734559,0.0580385499188144,0.0420697312955058,0.0244233446919798
CReefcrest_D_3_30_0100,36450.1932785342,79.1569092521573,65.0067311328395,25.6892454933788,43,2.23927860947324,0.949326836031117,0.114354391698255,1.50748735059864,0.00539465338745011,0.00914913520204071,0.00408575117153149,0.0507884186199375,0.0189047734034056,0,0.00211333969061246,0.00329970976608745,0.00116964326467435,0.00416800946793962,0.059976874792164,0.00729341817452436,0.0230589966878726,0.102709313167567,0.0634301676061102,0.0011499648035518,0.0427331830295237
CSpringBeach_3_30_1800,36450.1932785342,79.1569092521573,65.0067311328395,52.8248245830932,44,0.96449787154607,0.59838712750369,2.74712824705774,1.50899342868744,0.0333822137136628,0.0316569243427834,0.0328221816519284,0.0304513626558631,0.0260124052498559,0.0186823429479193,0.0172198538166961,0.0266058137468352,0.013642218268443,0.0375730968622326,0.0251383502334372,0.0627443623486505,0.0256868408435079,0.0346464392341332,0.0134001868837772,0.0365177750934576,0.0161595115945994
CReefcrest_F_3_30_1900,36450.1932785342,79.1569092521573,65.0067311328395,26.7686731740737,45,1.45270365524081,0.9052065211683,0.715285710235074,1.52981644020172,0.00926841827313948,0.0122667792115589,0.00844410294371114,0.0342604650825597,0.0629502756830677,0.0145853096429128,0.00388724810697043,0.00600212132199888,0.00286495860397269,0.00889967640916032,0.0384364299347797,0.0198748091816244,0.0233572696782268,0.0248321325019022,0.0489368763787516,0.00616125251418742,0.0388448853258955
CPitBottom_D_3_31_0700,36450.1932785342,79.1569092521573,65.0067311328395,21.9617331783467,46,1.07321124329393,1.01179678481816,1.20638948408917,1.46185925790656,0.00890611357605794,0.0100630173023675,0.00937654852690684,0.00697647796321754,0.00852545278243211,0.00307311904536576,0.0043093951845053,0.0077648549155808,0.0028692917054345,0.00933154472668478,0.0173368998552462,0.0182438099326166,0.00423380621132385,0.01851301134104,0.0137273616879986,0.00843286444577371,0.00901944756332036
