Site,Year,CobleA,CobleB,CobleC,CobleM,CobleT,Lignin,M_to_C,HIX,BIX,FI
66,2021,0.013596801,0.037784485,0.012043258,0.0146669,0.043404636,0.037116039,1.217851536,0.644946382,0.759452274,1.679342017
67,2021,0.012516373,0.043649206,0.010649407,0.013857932,0.031355046,0.022127299,1.301286709,0.50726064,0.77291329,1.692360126
68,2021,0.007917701,0.042912454,0.005951949,0.010453943,0.025391742,0.012651935,1.756389806,0.324032323,0.704006281,1.582622808
69,2021,0.013900617,0.045740244,0.01239129,0.017250137,0.040598341,0.005062151,1.392117987,0.577352861,0.834487148,1.646104649
70,2021,0.009218683,0.050547438,0.00767683,0.01041083,0.029555268,0.029608614,1.356136531,0.404840119,0.766634724,1.790659512
71,2021,0.007991127,0.033873682,0.007241545,0.00929587,0.029092251,0.007363911,1.283686015,0.529183015,0.90248648,1.811634809
72,2021,0.008165042,0.03654816,0.007252657,0.010404976,0.021745017,0.018421652,1.434643372,0.450505883,0.685224211,1.724272815
73,2021,0.007506273,0.037197821,0.007001227,0.010578582,0.035469738,0.014800394,1.510961159,0.422877921,0.942574159,1.771092555
74,2021,0.006475425,0.045837921,0.005029628,0.007682063,0.026896919,0,1.52736189,0.347290426,0.871018504,1.544969392
75,2021,0.006760205,0.038905184,0.005972862,0.008314905,0.029783208,0.007753385,1.392114029,0.555483296,0.868486669,1.520313187
76,2021,0.011130249,0.063171751,0.007989291,0.014668711,0.035436338,0,1.836046665,0.423615444,0.767096908,1.489647134
77,2021,0.012007584,0.050552965,0.009420263,0.014629397,0.039651166,0.016582935,1.55297119,0.482253382,0.729084944,1.827410186
78,2021,0.007663307,0.046360928,0.005553955,0.009258561,0.019748374,0.002572495,1.667021449,0.41746248,0.630835224,1.83337376
79,2021,0.005380734,0.020325034,0.004132093,0.00766908,0.013251838,0,1.8559796,0.486474695,0.691743665,1.702654661
80,2021,0.013423822,0.056268153,0.012519736,0.014862485,0.030341925,0.005949252,1.187124436,0.771443678,0.776239458,1.618353796
81,2021,0.014526214,0.043560494,0.009924145,0.014764625,0.03598649,0.028944898,1.487747749,0.397795338,0.624999157,1.553796832
82,2021,0.010143792,0.038931445,0.008961125,0.011982413,0.03029813,0.000297315,1.33715499,0.781667205,0.827198887,1.632303897
83,2021,0.008698067,0.025927737,0.005080074,0.011311792,0.015669282,0,2.226698294,0.460242653,0.634033756,1.497138001
84,2021,0.009997873,0.023625355,0.006749279,0.011475637,0.024520672,0.030292166,1.70027606,0.242702016,0.443549746,1.76358352
85,2021,0.006700073,0.032932348,0.00621297,0.008783586,0.027305077,0,1.413750004,0.504086306,0.728652265,1.373057642
86,2021,0.009764904,0.033280127,0.005811845,0.011566017,0.018872638,0.020067642,1.990076777,0.353121918,0.565419614,1.659779712
87,2021,0.007853831,0.028076335,0.006423912,0.010749358,0.015699392,0,1.673335262,0.554146962,0.638223168,1.598914204
89,2021,0.007138851,0.025695776,0.005799385,0.009238801,0.015696535,0.005235692,1.593065626,0.491741389,0.57056241,1.817960788
90,2021,0.02125116,0.038071999,0.019479801,0.024482298,0.038807136,0.008526043,1.256804328,1.09126783,0.82150425,1.792682531
91,2021,0.008342158,0.023609888,0.006954889,0.011680648,0.022110048,0.010285898,1.679487426,0.526251774,0.741694382,1.749632876
92,2021,0.010252954,0.013792538,0.006419619,0.011747862,0.017365647,0.031962389,1.829993462,0.318624811,0.644028759,1.755697604
93,2021,0.013204993,0.027950752,0.010684115,0.018350519,0.047864979,0.055932825,1.717551561,0.300062224,0.92749781,1.394610701
94,2021,0.017644593,0.02597169,0.01237655,0.021330352,0.036820027,0.022845056,1.723448982,0.661591636,0.62574078,1.526312526
95,2021,0.022321095,0.055154205,0.01648274,0.023730033,0.05455046,0.068699376,1.43968981,0.53894925,0.678810837,1.596600798
96,2021,0.013221232,0.029458152,0.012057613,0.017263809,0.026406341,0.005910562,1.431776624,0.891468843,0.806209375,1.566978689
97,2021,0.021876764,0.123746874,0.018318727,0.026620652,0.103020279,0.07661207,1.453193396,0.389388392,0.719961167,1.591990406
98,2021,0.008288865,0.033121094,0.007080936,0.012456046,0.030325108,0.010415769,1.75909584,0.503433291,0.755155052,1.595234176
99,2021,0.010490319,0.015494904,0.010365088,0.013681281,0.018564988,0.016214265,1.319938721,0.803635598,0.749291792,1.58342786
100,2021,0.006957068,0.021989299,0.005546734,0.009453128,0.017446543,0.010846026,1.704269167,0.534072912,0.719531159,1.760147757
101,2021,0.010354445,0.018955499,0.007429432,0.013483836,0.029124385,0.030699957,1.814921579,0.439392867,0.78498084,1.483087529
102,2021,0.008155724,0.021588299,0.007022732,0.009681634,0.022359213,0.01941066,1.378613498,0.444432683,0.840620157,1.738500516
103,2021,0.010790797,0.017499401,0.009122519,0.014116664,0.028678669,0.010093701,1.547452438,0.556458908,0.856289056,1.844989488
104,2021,0.032009889,0.057889234,0.025843877,0.032462215,0.061021834,0.070140657,1.256089215,0.664550186,0.617394937,1.563777668
105,2021,0.01087218,0.05469274,0.009113403,0.014696243,0.038098091,0.025019569,1.61259659,0.421535969,0.833172405,1.487188376
106,2021,0.011656865,0.043161939,0.007555653,0.016621242,0.024997712,0.0250378,2.199842038,0.408277501,0.660636857,1.705456595
107,2021,0.01148495,0.030451939,0.008292831,0.012625119,0.025971204,0.058789478,1.522413697,0.259654095,0.598400923,1.567087179
108,2021,0.010313261,0.047408771,0.007074558,0.011423154,0.02959153,0.024576014,1.614680899,0.353539818,0.669301396,1.650753206
109,2021,0.010354481,0.045109508,0.008032093,0.012202855,0.024666503,0.003691352,1.519262113,0.483963559,0.622418324,1.731343283
110,2021,0.014015072,0.032989691,0.011891097,0.015511519,0.038091634,0.048115272,1.304464898,0.433257537,0.67136255,1.614038308
111,2021,0.009384775,0.055257508,0.007225063,0.011006851,0.025897102,0.020543512,1.523426368,0.404239281,0.757383298,2.129748263
112,2021,0.011883483,0.047041759,0.009965793,0.013443111,0.027735305,0.030349325,1.348925403,0.450167478,0.704416741,1.599698321
113,2021,0.04039486,0.074733348,0.032449303,0.043587924,0.076568355,0.072177088,1.343262247,1.066925325,0.648218339,1.554198532
114,2021,0.006010234,0.043496637,0.005046322,0.00925567,0.014832471,0.004703268,1.834141817,0.545833698,0.704994323,1.827808633
115,2021,0.007616536,0.027233498,0.007029305,0.009780938,0.029143497,0.000803451,1.391451696,0.468748025,0.875452149,1.621392729
