Unique_id,Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distance_to_crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,Microbial_PCoA_Axis1,Microbial_Species_Richness,Microbial_Evenness,Ultra.Violet.Humic.like,Tyrosine.like,Visible.Humic.like,Marine.Humic.like,Tryptophan.like,Lignin.like,M.C,HIX,BIX,FI
id_55,22,2016,2016-July,4.98,0.31,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea,,,,,,,,,,,,,
id_56,22,2016,2016-May,3.34,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea,,,,,,,,,,,,,
id_57,22,2016,2016-January,3.52,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea,,,,,,,,,,,,,
id_58,23,2016,2016-July,4.47,0.38,NA,NA,NA,NA,NA,NA,NA,NA,-17.5924521,-149.8151988,1379.78,115.13,3586.43,209.77,450.28,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_59,23,2016,2016-January,3.29,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.5924521,-149.8151988,1379.78,115.13,3586.43,209.77,450.28,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_60,24,2016,2016-July,4.82,0.29,NA,NA,NA,NA,NA,NA,NA,NA,-17.59325316,-149.8095427,1244.37,153.45,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_61,24,2016,2016-May,3.05,0.55,NA,NA,NA,NA,NA,NA,NA,NA,-17.59325316,-149.8095427,1244.37,153.45,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_62,24,2016,2016-January,2.84,0.51,NA,NA,NA,NA,NA,NA,NA,NA,-17.59325316,-149.8095427,1244.37,153.45,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_63,25,2016,2016-July,4.27,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_64,25,2016,2016-May,3.13,0.53,NA,NA,NA,NA,NA,NA,NA,NA,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_65,25,2016,2016-January,2.85,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea,,,,,,,,,,,,,
id_66,26,2016,2016-July,4.49,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_67,26,2016,2016-May,3.44,0.54,NA,NA,NA,NA,NA,NA,NA,NA,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_68,26,2016,2016-January,2.26,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_69,27,2016,2016-July,6.31,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.21,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea,,,,,,,,,,,,,
id_70,27,2016,2016-May,3.35,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.21,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea,,,,,,,,,,,,,
id_71,27,2016,2016-January,2.11,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.21,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea,,,,,,,,,,,,,
id_72,28,2016,2016-July,4.21,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.59882126,-149.8193942,695.02,685.78,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_73,28,2016,2016-May,3.27,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.59882126,-149.8193942,695.02,685.78,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_74,28,2016,2016-January,1.95,0.33,NA,NA,NA,NA,NA,NA,NA,NA,-17.59882126,-149.8193942,695.02,685.78,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_75,29,2016,2016-July,6.88,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.59742064,-149.8283843,789.87,623.66,5084.49,1653.55,1930.09,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_76,29,2016,2016-May,3.42,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.59742064,-149.8283843,789.87,623.66,5084.49,1653.55,1930.09,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_77,29,2016,2016-January,2.82,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.59742064,-149.8283843,789.87,623.66,5084.49,1653.55,1930.09,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_78,30,2016,2016-July,4.8,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.59837987,-149.8107668,716.16,718.52,3507.52,389.04,718.52,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_79,30,2016,2016-May,3.04,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.59837987,-149.8107668,716.16,718.52,3507.52,389.04,718.52,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_80,30,2016,2016-January,2.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,-17.59837987,-149.8107668,716.16,718.52,3507.52,389.04,718.52,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_81,31,2016,2016-July,4.68,0.35,NA,NA,NA,NA,NA,NA,NA,NA,-17.59795985,-149.8038875,661.3,783.44,2988.97,212.1,783.44,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_82,31,2016,2016-May,3.33,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.59795985,-149.8038875,661.3,783.44,2988.97,212.1,783.44,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_83,31,2016,2016-January,2.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,-17.59795985,-149.8038875,661.3,783.44,2988.97,212.1,783.44,Ma'atea,SW,Mid lagoon,Maatea,,,,,,,,,,,,,
id_84,32,2016,2016-July,4.555,0.33,NA,NA,NA,NA,NA,NA,NA,NA,-17.59291001,-149.7998923,576.01,609.09,2294.73,76.72,609.09,Ma'atea,SE,Mid lagoon,Maatea,,,,,,,,,,,,,
id_85,32,2016,2016-May,2.88,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.59291001,-149.7998923,576.01,609.09,2294.73,76.72,609.09,Ma'atea,SE,Mid lagoon,Maatea,,,,,,,,,,,,,
id_86,32,2016,2016-January,2.64,0.37,NA,NA,NA,NA,NA,NA,NA,NA,-17.59291001,-149.7998923,576.01,609.09,2294.73,76.72,609.09,Ma'atea,SE,Mid lagoon,Maatea,,,,,,,,,,,,,
id_87,33,2016,2016-July,5.06,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.58718274,-149.7909091,146.28,1040.07,1288.52,426.5,1040.07,Ma'atea,SE,Reef crest,Maatea,,,,,,,,,,,,,
id_88,33,2016,2016-May,3.47,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.58718274,-149.7909091,146.28,1040.07,1288.52,426.5,1040.07,Ma'atea,SE,Reef crest,Maatea,,,,,,,,,,,,,
id_89,33,2016,2016-January,2.97,0.39,NA,NA,NA,NA,NA,NA,NA,NA,-17.58718274,-149.7909091,146.28,1040.07,1288.52,426.5,1040.07,Ma'atea,SE,Reef crest,Maatea,,,,,,,,,,,,,
id_90,34,2016,2016-July,4.46,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.58067293,-149.7936002,715.64,462.98,815.17,115.53,697,Ma'atea,SE,Mid lagoon,Maatea,,,,,,,,,,,,,
id_91,34,2016,2016-May,3.2,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.58067293,-149.7936002,715.64,462.98,815.17,115.53,697,Ma'atea,SE,Mid lagoon,Maatea,,,,,,,,,,,,,
id_92,34,2016,2016-January,2.65,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.58067293,-149.7936002,715.64,462.98,815.17,115.53,697,Ma'atea,SE,Mid lagoon,Maatea,,,,,,,,,,,,,
id_93,35,2016,2016-July,4.8,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.58383224,-149.7985487,1040.17,157.41,1436.85,60.1,157.41,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_94,35,2016,2016-May,3.57,0.56,NA,NA,NA,NA,NA,NA,NA,NA,-17.58383224,-149.7985487,1040.17,157.41,1436.85,60.1,157.41,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_95,35,2016,2016-January,3.08,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.58383224,-149.7985487,1040.17,157.41,1436.85,60.1,157.41,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_96,36,2016,2016-July,4.9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,-17.57943392,-149.7968348,1060.36,100.49,997.76,7.85,464.16,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_97,36,2016,2016-May,3.79,0.51,NA,NA,NA,NA,NA,NA,NA,NA,-17.57943392,-149.7968348,1060.36,100.49,997.76,7.85,464.16,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_98,36,2016,2016-January,3.12,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.57943392,-149.7968348,1060.36,100.49,997.76,7.85,464.16,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_99,37,2016,2016-July,4.83,0.6,NA,NA,NA,NA,NA,NA,NA,NA,-17.57349375,-149.7942877,855.19,245.76,723.21,10.42,1146.81,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_100,37,2016,2016-May,3.85,0.55,NA,NA,NA,NA,NA,NA,NA,NA,-17.57349375,-149.7942877,855.19,245.76,723.21,10.42,1146.81,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_101,37,2016,2016-January,3.34,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.57349375,-149.7942877,855.19,245.76,723.21,10.42,1146.81,Ma'atea,SE,Fringing reef,Maatea,,,,,,,,,,,,,
id_102,38,2016,2016-July,5.27,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.56786983,-149.7925031,743.42,71.41,789.05,16.36,1531.14,Afareaitu,SE,Fringing reef,Haumi,,,,,,,,,,,,,
id_103,38,2016,2016-May,4.3,0.56,NA,NA,NA,NA,NA,NA,NA,NA,-17.56786983,-149.7925031,743.42,71.41,789.05,16.36,1531.14,Afareaitu,SE,Fringing reef,Haumi,,,,,,,,,,,,,
id_104,38,2016,2016-January,3.74,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.56786983,-149.7925031,743.42,71.41,789.05,16.36,1531.14,Afareaitu,SE,Fringing reef,Haumi,,,,,,,,,,,,,
id_105,39,2016,2016-July,4.61,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.57239278,-149.7883265,212.17,531.66,144.03,6.98,1634.15,Ma'atea,SE,Reef pass,Haumi,,,,,,,,,,,,,
id_106,39,2016,2016-January,2.47,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.57239278,-149.7883265,212.17,531.66,144.03,6.98,1634.15,Ma'atea,SE,Reef pass,Haumi,,,,,,,,,,,,,
id_107,40,2016,2016-July,4.95,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.57566885,-149.7885266,247.25,762.66,47.99,10.44,1360.37,Ma'atea,SE,Reef pass,Maatea,,,,,,,,,,,,,
id_108,40,2016,2016-May,3.52,0.53,NA,NA,NA,NA,NA,NA,NA,NA,-17.57566885,-149.7885266,247.25,762.66,47.99,10.44,1360.37,Ma'atea,SE,Reef pass,Maatea,,,,,,,,,,,,,
id_109,40,2016,2016-January,2.73,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.57566885,-149.7885266,247.25,762.66,47.99,10.44,1360.37,Ma'atea,SE,Reef pass,Maatea,,,,,,,,,,,,,
id_110,41,2016,2016-July,4.37,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.57019438,-149.7873946,158.87,560.67,286.59,186.46,1577.78,Afareaitu,SE,Reef crest,Haumi,,,,,,,,,,,,,
